the art.(定冠词)这，那
to prep.到，向，达到
of prep.…的；由于
in prep.在…里ad.进，入
and conj.和，又，并，则
you pron.你，你们
it pron.这，那，它
on prep.在…上；在…旁
for prep.为；给；因为
that a.那pron.那ad.那样
with prep.和…一起；具有
they pron.(主格)他(她)们
their pron.他(她、它)们的
have v. aux.已经vt.有；吃
be aux. v.&vi.是，在，做
from prep.从…来；离开
as conj.当…的时候
by prep.在…旁；被，由
at prep.在…里；在…时
this a.这；今pron.这
what pron.什么a.什么
passage n.通过；通路，通道
will aux. v.将要，会；愿
people n.人民，民族；人
not ad.不，没有
one num.一pron.一个人
or conj.或，或者；即
can n.罐头，听头；容器
about prep.关于；在…周围
than conj.(比较级)比
but conj.但是，可是
answer vt.回答；响应；适应
section n.切片；一段；部门
he pron.(主格)他
each pron.各，各自a.各
just ad.刚才；只是；正好
we pron.(主格)我们
your pron.你的，你们的
may v. aux.可能；可以，祝
do aux. v. vt.做，干，办
when ad.什么时候；当…时
its pron.它的
letter n.信；证书；字母
part n.一部分；零件；本份
them pron.(宾格)他们
some a.&pron.一些，若干
who pron.谁；…的人
there ad.在那里；在那点上
through prep.穿过ad.从头到尾
hear vt.听见；审讯；听说
new a.新的；新近出现的
time n.时间；时机；次，回
her pron.(宾格)她；她的
she pron.(主格)她
should aux. v.将；万一；就
his pron.他的，他的东西
sheet n.被单；纸张；薄板
life n.生命；一生；寿命
how ad.怎么；怎样；多少
only ad.只，仅仅a.唯一的
no ad.不；并不a.没有
food n.食物，食品，养料
our pron.我们的
which pron.哪一个a.哪一个
once ad.一次；曾经n.一次
four num.四，四个，第四
news n.新闻，消息
up ad.向上；起床，起来
if conj.假如，如果
all a.全部的prep.全部
many a.许多的pron.许多人
like prep.像，如；像要
work n.工作；职业vi.工作
other a.另外的；其余的
corresponding a.相应的；符合的
two num.二，两个
into prep.进，入；进入到
make vt.使；做，制造
after prep.在…以后；次于
line n.线；排；路线；线条
us pron.(宾格)我们
single a.单一的；独身的
report vt.&vi.报告；汇报
best a.最好的；最大的
mark n.斑点；记号vt.标明
so ad.这样；这么；非常
three num.三，三个
information n.消息，信息；通知
out ad.出，在外；现出来
centre n.中心；中枢vt.集中
way n.路；路线；方向
both pron.两者(都)
